timestamp mote_count room_0 value_0 room_1 value_1 room_2 value_2 room_3 value_3 room_4 value_4 room_5 value_5
1--94:,2015.3.15-17.52.58
1--94:,2015.3.15-17.52.59
1--94:,2015.3.15-17.53.0
1--72:,2015.3.15-17.53.1
1--72:,2015.3.15-17.53.2
1--100:,2015.3.15-17.53.3
1--100:,2015.3.15-17.53.4
1--100:,2015.3.15-17.53.5
1--72:,2015.3.15-17.53.6
1--100:,2015.3.15-17.53.8
1--72:,2015.3.15-17.53.9
1--99:,2015.3.15-17.53.10
1--99:,2015.3.15-17.53.11
1--99:,2015.3.15-17.53.12
1--99:,2015.3.15-17.53.13
1--99:,2015.3.15-17.53.14
1--99:,2015.3.15-17.53.15
1--99:,2015.3.15-17.53.16
1--99:,2015.3.15-17.53.17
1--99:,2015.3.15-17.53.18
1--72:,2015.3.15-17.53.19
1--72:,2015.3.15-17.53.20
1--72:,2015.3.15-17.53.21
1--72:,2015.3.15-17.53.22
1--72:,2015.3.15-17.53.23
1--72:,2015.3.15-17.53.24
1--72:,2015.3.15-17.53.25
1--72:,2015.3.15-17.53.26
1--72:,2015.3.15-17.53.27
1--72:,2015.3.15-17.53.28
1--72:,2015.3.15-17.53.30
1--100:,2015.3.15-17.53.31
1--100:,2015.3.15-17.53.32
1--100:,2015.3.15-17.53.33
1--100:,2015.3.15-17.53.34
1--100:,2015.3.15-17.53.35
1--100:,2015.3.15-17.53.36
1--100:,2015.3.15-17.53.37
1--100:,2015.3.15-17.53.38
1--100:,2015.3.15-17.53.39
1--100:,2015.3.15-17.53.40
1--107:,2015.3.15-17.53.46
1--107:,2015.3.15-17.53.47
1--107:,2015.3.15-17.53.48
1--100:,2015.3.15-17.53.49
1--100:,2015.3.15-17.53.50
1--100:,2015.3.15-17.53.51
1--100:,2015.3.15-17.53.52
1--100:,2015.3.15-17.53.53
1--102:,2015.3.15-17.53.55
1--91:,2015.3.15-17.53.56
1--89:,2015.3.15-17.53.57
1--103:2--97:,2015.3.15-17.53.58
1--97:2--97:,2015.3.15-17.53.59
1--98:2--97:,2015.3.15-17.54.0
1--72:2--97:,2015.3.15-17.54.1
1--72:2--97:,2015.3.15-17.54.2
